3117: Kids Mini Stickers,0.5,0.5,0.5,0.75,8,8,8.5,11,0.875,0.5,0.875,0.5
3118: Kids Mini Stickers,0.5,0.5,0.5,0.75,8,8,8.5,11,0.875,0.5,0.875,0.5
3200: Card Variety Pack,8.5,5.5,0,0,2,1,8.5,11,0,0,0,0
3251: Greeting Card,8.5,5.5,0,0,2,1,8.5,11,0,0,0,0
3252: Greeting Card,8.5,5.5,0,0,2,1,8.5,11,0,0,0,0
3254: Greeting Card,6.875,4.875,0,0,2,1,8.5,11,0.625,0.8125,0.625,0.8125
3256: Note Cards,3.25,4.5,1,1,2,2,8.5,11,0.5,0.5,0.5,0.5
3257: Mini-Photo Stickers,0.875,0.625,0.188,0.188,4,4,11,8.5,0.468,0.968,0.468,0.968
3258: Photo Frame Card,7,5,0,0,2,1,8.5,11,0.5,0.75,0.5,0.75
3259: Note Card,3.25,4.5,1,1,2,2,8.5,11,0.5,0.5,0.5,0.5
3260: Half-Fold Card,7,4,0,1.5,2,1,8.5,11,0.75,0.75,0.75,0.75
3261: Large Labels,3.75,1.25,0.25,0.25,6,2,8.5,11,1.125,0.375,1.125,0.375
3261: Return Address Labels,2.25,0.75,0.5,0.25,10,3,8.5,11,0.625,0.375,0.625,0.375
3261: Small Labels,2.375,1.25,0.3125,0.25,6,3,8.5,11,1.125,0.375,1.125,0.375
3263: Postcard,5.5,4.25,0,0,2,2,11,8.5,0,0,0,0
3264: Mini Folded Card,3.5,2,0.5,0,4,2,8.5,11,1.25,0.5,1.25,0.5
3265: Half-Fold Card,8.5,5.5,0,0,2,1,8.5,11,0,0,0,0
3266: Quarter-Fold Card,4.25,5.5,0,0,2,2,8.5,11,0,0,0,0
3268: Note Card,4.25,5.5,0,0,2,2,8.5,11,0,0,0,0
3269: Half-Fold Cards,8.5,5.5,0,0,2,1,8.5,11,0,0,0,0
3273: Greeting Cards,6.875,4.875,0,0,2,1,8.5,11,0.625,0.8125,0.625,0.8125
3274: Big Round Stickers,2.5,2.5,0.1875,0.5,3,3,8.5,11,1.25,0.3125,1.25,0.3125
3274: Small Round Stickers,1.5,1.5,0.5,0.5,5,4,8.5,11,0.75,0.5,0.75,0.5
3274: Square Stickers,2.5,2.5,0.1875,0.5,3,3,8.5,11,1.25,0.3125,1.25,0.3125
3297: Half-fold Card,8.5,5.5,0,0,2,1,8.5,11,0,0,0,0
3610: Kids  Greeting Cards (landscape),4.5,7,0.5,0,1,2,11,8.5,0.75,0.75,0.75,0.75
3610: Kids  Greeting Cards (portrait),7,4.5,0,0.5,2,1,8.5,11,0.75,0.75,0.75,0.75
3612: Kids Biz Cards,3.5,2,0.5,0.5,4,2,8.5,11,0.75,0.5,0.75,0.5
3613: Kids ID Cards,3.25,2,0,1.6666,3,1,8.5,11,0.8333,4.3125,0.8335,0.9375
3616: Kids  Bookmarks,1.375,7,2,0,1,3,11,8.5,0.75,0.75,0.75,2.125
3617: Kids Wrist Bands,8.25,0.75,0,1.75,3,1,11,8.5,1.375,1.375,1.375,1.375
5066: File Folder Labels,3.438,0.541,0.562,0.1256,15,2,8.5,11,0.625,0.531,0.5,0.531
5095: Name Badge,2.938,1.896,0.812,0.604,4,2,8.5,11,0.802,0.907,0.802,0.907
5096: Diskette - 3.5",2.75,2.75,0,0.25,3,3,8.5,11,0.5,0.125,1.75,0.125
5097: Diskette - 5.25",4,1.25,0.1875,0.25,6,2,8.5,11,1.25,0.156,1,0.156
5159: Address Labels,4,1.5,0.188,0,7,2,8.5,11,0.25,0.156,0.25,0.156
5160: Address Labels,2.625,1,0.125,0,10,3,8.5,11,0.5,0.1875,0.5,0.1875
5161: Address Labels,4,1,0.188,0,10,2,8.5,11,0.5,0.156,0.5,0.156
5162: Address Labels,4,1.3333,0.1875,0,7,2,8.5,11,0.8333,0.156,0.8333,0.156
5163: Shipping Labels,4,2,0.16,0,5,2,8.5,11,0.5,0.17,0.5,0.17
5164: Shipping Labels,4,3.333,0.188,0,3,2,8.5,11,0.5,0.156,0.5,0.156
5166: File Folder Labels,3.438,0.541,0.562,0.1256,15,2,8.5,11,0.625,0.531,0.5,0.531
5167: Return Address Labels,1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
5168: Shipping Labels,3.5,5,0.5,0,2,2,8.5,11,0.5,0.5,0.5,0.5
5196: Diskette - 3.5",2.75,2.75,0,0.25,3,3,8.5,11,0.5,0.125,1.75,0.125
5197: Diskette - 5.25",4,1.5,0.188,0,6,2,8.5,11,1,0.156,1,0.156
5198: Audio Tape,3.5,1.667,0.5,-0.0004,6,2,8.5,11,0.5,0.5,0.5,0.5
5199: Videotape Face,3.063,1.833,0.237,0.0003,5,2,8.5,11,0.917,1.069,0.917,1.069
5199: Videotape Spine,5.813,0.6666,0,0,15,1,8.5,11,0.5,1.344,0.5,1.344
5200: Video Spine,5.813,0.6666,0,0,15,1,8.5,11,0.5,1.344,0.5,1.344
5223: Videotape Face,3.063,1.833,0.237,0.0003,5,2,8.5,11,0.917,1.069,0.917,1.069
5260: Address Labels,2.625,1,0.125,0,10,3,8.5,11,0.5,0.1875,0.5,0.1875
5261: Address Labels,4,1,0.188,0,10,2,8.5,11,0.5,0.156,0.5,0.156
5262: Address Labels,4,1.3333,0.1875,0,7,2,8.5,11,0.8333,0.156,0.8333,0.156
5263: Shipping Labels,4,2,0.16,0,5,2,8.5,11,0.5,0.17,0.5,0.17
5264: Shipping Labels,4,3.333,0.188,0,3,2,8.5,11,0.5,0.156,0.5,0.156
5266: File Folder Labels,3.438,0.541,0.562,0.1256,15,2,8.5,11,0.625,0.531,0.5,0.531
5267: Return Address Labels,1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
5268: File Folder Labels,3.438,0.541,0.562,0.1257,15,2,8.5,11,0.625,0.531,0.5,0.531
5293: Round Labels,1.625,1.625,0.375,0.042,6,4,8.5,11,0.5,0.438,0.5,0.438
5294: Round Labels,2.468,2.468,0.282,0.032,4,3,8.5,11,0.516,0.266,0.516,0.266
5305: Tent Card Med.,7.75,4.25,0.75,0.75,2,1,8.5,11,0.875,0.375,0.875,0.375
5309: Tent Card Large,10,6,1,1,1,1,11,8.5,1.25,0.5,1.25,0.5
5315: Note Card,4.25,5.5,0,0,2,2,8.5,11,0,0,0,0
5361: ID Card,3.25,2,0,1.6666,3,1,8.5,11,0.8333,4.3125,0.8333,0.9375
5361: ID Card,3.25,2,0,1.6666,3,1,8.5,11,0.8333,4.3125,0.8333,0.9375
5362: Name Badge,3.25,2,0,1.6666,3,1,8.5,11,0.8333,4.3125,0.8333,0.9375
5362: Name Badge,3.25,2,0,1.6666,3,1,8.5,11,0.8333,4.3125,0.8333,0.9375
5364: Rotary Index Card,3.875,2.0625,0,1.6041,3,1,8.5,11,0.8125,4.3125,0.8125,0.375
5366: File Folder Labels,3.438,0.667,0.562,0,15,2,8.5,11,0.5,0.531,0.5,0.531
5368: File Folder Labels,3.438,0.541,0.562,0.1257,15,2,8.5,11,0.625,0.531,0.5,0.531
5372: Business Cards,3.5,2,0,0,5,2,8.5,11,0.5,0.75,0.5,0.75
5376: Business Cards,3.5,2,0,0,5,2,8.5,11,0.5,0.75,0.5,0.75
5378: File Folder Labels,3.438,0.541,0.562,0.1257,15,2,8.5,11,0.625,0.531,0.5,0.531
5383: Name Tag Kit,3.5,2.219,0,0,4,2,8.5,11,1.0625,0.75,1.0625,0.75
5384: Name Badge Inserts,4,3,0,0,3,2,8.5,11,1,0.25,1,0.25
5385: Rotary Card - Small,4,2.167,0,0,4,2,8.5,11,1.1667,0.25,1.1667,0.25
5386: Rotary Card - Large,5,3,0,0,3,1,8.5,11,1,1.75,1,1.75
5388: Index Card,5,3,0,0,3,1,8.5,11,1,1.75,1,1.75
5389: Postcard,6,4,0,0,2,1,8.5,11,1.5,1.25,1.5,1.25
5390: Name Tag Refill,3.5,2.219,0,0,4,2,8.5,11,1.0625,0.75,1.0625,0.75
